conv_type,noise_p,noise_type,metric_type,value
gcn,0.01,node,r,0.6741480500739082
gcn,0.01,node,r,0.66548128966463
gcn,0.01,node,r,0.6695648539274321
gcn,0.01,node,r,0.6810407362780827
gcn,0.01,node,r,0.6894284076402859
gcn,0.05,node,r,0.6816926117525088
gcn,0.05,node,r,0.6785551137236334
gcn,0.05,node,r,0.6757543067756466
gcn,0.05,node,r,0.6713687633034614
gcn,0.05,node,r,0.6820459833801276
gcn,0.1,node,r,0.6743620668293917
gcn,0.1,node,r,0.6693685061461275
gcn,0.1,node,r,0.667779243063995
gcn,0.1,node,r,0.6769739952243171
gcn,0.1,node,r,0.6758758685883436
gcn,0.2,node,r,0.6716310475444246
gcn,0.2,node,r,0.661654423947245
gcn,0.2,node,r,0.6736324182083764
gcn,0.2,node,r,0.6715358425904667
gcn,0.2,node,r,0.6694235595631897
gcn,0.3,node,r,0.6807117144391044
gcn,0.3,node,r,0.6581394591502636
gcn,0.3,node,r,0.6648963638581444
gcn,0.3,node,r,0.6915087848798122
gcn,0.3,node,r,0.6642433219605823
gcn,0.5,node,r,0.6642045066434061
gcn,0.5,node,r,0.6689420905998421
gcn,0.5,node,r,0.6704192668481812
gcn,0.5,node,r,0.688079111289406
gcn,0.5,node,r,0.6672817302698071
gcn,0.01,node,r2,0.4503281196955917
gcn,0.01,node,r2,0.4260627232510189
gcn,0.01,node,r2,0.4220955859819593
gcn,0.01,node,r2,0.43730592395836
gcn,0.01,node,r2,0.47249853732883207
gcn,0.05,node,r2,0.4614888343194372
gcn,0.05,node,r2,0.45773979846013113
gcn,0.05,node,r2,0.44469591556823207
gcn,0.05,node,r2,0.44968576998637955
gcn,0.05,node,r2,0.45157544295160235
gcn,0.1,node,r2,0.4542508453176587
gcn,0.1,node,r2,0.44796918703183297
gcn,0.1,node,r2,0.4253042164187151
gcn,0.1,node,r2,0.453535397793145
gcn,0.1,node,r2,0.4507008115880011
gcn,0.2,node,r2,0.43578630175125455
gcn,0.2,node,r2,0.4341155858384213
gcn,0.2,node,r2,0.4533310218453256
gcn,0.2,node,r2,0.4261645703358803
gcn,0.2,node,r2,0.4478542976460558
gcn,0.3,node,r2,0.45790020929446273
gcn,0.3,node,r2,0.4268818089640496
gcn,0.3,node,r2,0.4372161902520346
gcn,0.3,node,r2,0.4718068046794709
gcn,0.3,node,r2,0.43998835703297745
gcn,0.5,node,r2,0.41487994258170846
