,conv_type,noise_p,noise_type,metric_type,value
0,gcn,0.01,node,r,0.6741480500739082
1,gcn,0.01,node,r,0.66548128966463
2,gcn,0.01,node,r,0.6695648539274321
3,gcn,0.01,node,r,0.6810407362780827
4,gcn,0.01,node,r,0.6894284076402859
5,gcn,0.05,node,r,0.6816926117525088
6,gcn,0.05,node,r,0.6785551137236334
7,gcn,0.05,node,r,0.6757543067756466
8,gcn,0.05,node,r,0.6713687633034614
9,gcn,0.05,node,r,0.6820459833801276
10,gcn,0.1,node,r,0.6743620668293917
11,gcn,0.1,node,r,0.6693685061461275
12,gcn,0.1,node,r,0.667779243063995
13,gcn,0.1,node,r,0.6769739952243171
14,gcn,0.1,node,r,0.6758758685883436
15,gcn,0.2,node,r,0.6716310475444246
16,gcn,0.2,node,r,0.661654423947245
17,gcn,0.2,node,r,0.6736324182083764
18,gcn,0.2,node,r,0.6715358425904667
19,gcn,0.2,node,r,0.6694235595631897
20,gcn,0.3,node,r,0.6807117144391044
21,gcn,0.3,node,r,0.6581394591502636
22,gcn,0.3,node,r,0.6648963638581444
23,gcn,0.3,node,r,0.6915087848798122
24,gcn,0.3,node,r,0.6642433219605823
25,gcn,0.5,node,r,0.6642045066434061
26,gcn,0.5,node,r,0.6689420905998421
27,gcn,0.5,node,r,0.6704192668481812
28,gcn,0.5,node,r,0.688079111289406
29,gcn,0.5,node,r,0.6672817302698071
30,gcn,0.01,node,r2,0.4503281196955917
31,gcn,0.01,node,r2,0.4260627232510189
32,gcn,0.01,node,r2,0.4220955859819593
33,gcn,0.01,node,r2,0.43730592395835993
34,gcn,0.01,node,r2,0.4724985373288321
35,gcn,0.05,node,r2,0.4614888343194372
36,gcn,0.05,node,r2,0.4577397984601311
37,gcn,0.05,node,r2,0.4446959155682321
38,gcn,0.05,node,r2,0.4496857699863796
39,gcn,0.05,node,r2,0.4515754429516024
40,gcn,0.1,node,r2,0.4542508453176587
41,gcn,0.1,node,r2,0.44796918703183297
42,gcn,0.1,node,r2,0.4253042164187151
43,gcn,0.1,node,r2,0.45353539779314506
44,gcn,0.1,node,r2,0.4507008115880011
45,gcn,0.2,node,r2,0.43578630175125455
46,gcn,0.2,node,r2,0.4341155858384213
47,gcn,0.2,node,r2,0.4533310218453256
48,gcn,0.2,node,r2,0.4261645703358803
49,gcn,0.2,node,r2,0.4478542976460558
50,gcn,0.3,node,r2,0.4579002092944627
51,gcn,0.3,node,r2,0.4268818089640496
52,gcn,0.3,node,r2,0.4372161902520346
53,gcn,0.3,node,r2,0.4718068046794709
54,gcn,0.3,node,r2,0.4399883570329775
55,gcn,0.5,node,r2,0.4148799425817085
56,gcn,0.5,node,r2,0.4426467611617443
57,gcn,0.5,node,r2,0.44467978222032734
58,gcn,0.5,node,r2,0.4629971039771509
59,gcn,0.5,node,r2,0.4424577586033249
60,gcn,0.1,edge,r,0.6879968190954218
61,gcn,0.1,edge,r2,0.4700117735595663
62,gcn,0.2,edge,r,0.6810021366615023
63,gcn,0.2,edge,r2,0.4618171824175815
64,gcn,0.3,edge,r,0.6708923371796747
65,gcn,0.3,edge,r2,0.4435856857088424
